"Stock","Year","Length","CatchNo"
"CRPN-SE",2008,320,22.9057753447
"CRPN-SE",2008,330,27.317642804
"CRPN-SE",2008,340,26.8857280165
"CRPN-SE",2008,350,19.3972603236
"CRPN-SE",2008,360,19.7687956756
"CRPN-SE",2008,370,17.8699269132
"CRPN-SE",2008,380,15.5239127948
"CRPN-SE",2008,390,18.8284771821
"CRPN-SE",2008,400,16.5426641355
"CRPN-SE",2008,410,16.5451800609
"CRPN-SE",2008,420,10.7950733049
"CRPN-SE",2008,430,7.5906802778
"CRPN-SE",2008,440,4.6846986013
"CRPN-SE",2008,450,3.83154328
"CRPN-SE",2008,460,4.7731767
"CRPN-SE",2008,470,1.9105594511
"CRPN-SE",2008,480,2.8417255366
"CRPN-SE",2008,490,2.4919122378
"CRPN-SE",2008,500,0.7708725936
"CRPN-SE",2008,510,0.2002483601
"CRPN-SE",2008,520,0.3778904076
"CRPN-SE",2008,530,0.1538461538
"CRPN-SE",2008,540,0.0769230769
"CRPN-SE",2008,550,0.2627300658
"CRPN-SE",2008,560,0
"CRPN-SE",2008,570,0
"CRPN-SE",2008,580,0.4472135955
"CRPN-SE",2008,590,0
"CRPN-SE",2009,230,0
"CRPN-SE",2009,240,0
"CRPN-SE",2009,250,0
"CRPN-SE",2009,260,0
"CRPN-SE",2009,270,0
"CRPN-SE",2009,280,0.2041241452
"CRPN-SE",2009,290,0.5607468608
"CRPN-SE",2009,300,6.9563457
"CRPN-SE",2009,310,17.438907635
"CRPN-SE",2009,320,28.9648315638
"CRPN-SE",2009,330,32.7923095845
"CRPN-SE",2009,340,39.8317715487
"CRPN-SE",2009,350,96.9617661123
"CRPN-SE",2009,360,77.5657500089
"CRPN-SE",2009,370,70.813676701
"CRPN-SE",2009,380,75.160606972
"CRPN-SE",2009,390,63.4936703197
"CRPN-SE",2009,400,52.6710783053
"CRPN-SE",2009,410,36.0783003443
"CRPN-SE",2009,420,33.8427906243
"CRPN-SE",2009,430,25.2202078338
"CRPN-SE",2009,440,21.831850047
"CRPN-SE",2009,450,12.4880803396
"CRPN-SE",2009,460,13.0435509104
"CRPN-SE",2009,470,9.0843322628
"CRPN-SE",2009,480,9.9000444793
"CRPN-SE",2009,490,7.2961442061
"CRPN-SE",2009,500,3.7239433716
"CRPN-SE",2009,510,1.8364573172
"CRPN-SE",2009,520,1.4209333215
"CRPN-SE",2009,530,2.1535437114
"CRPN-SE",2009,540,0.6641725471
"CRPN-SE",2009,550,1.2996104153
"CRPN-SE",2009,560,0.8900501209
"CRPN-SE",2009,570,0.132174641
"CRPN-SE",2009,580,0.4017897181
"CRPN-SE",2009,590,0.2754304583
"CRPN-SE",2010,230,0
"CRPN-SE",2010,240,0
"CRPN-SE",2010,250,0.9407208684
"CRPN-SE",2010,260,1.0347929552
"CRPN-SE",2010,270,0.7525766947
"CRPN-SE",2010,280,1.2229371289
"CRPN-SE",2010,290,1.2989807579
"CRPN-SE",2010,300,4.7363545302
"CRPN-SE",2010,310,11.8038238012
"CRPN-SE",2010,320,32.5289240327
"CRPN-SE",2010,330,39.5947880465
"CRPN-SE",2010,340,52.2154582964
"CRPN-SE",2010,350,92.9232407808
"CRPN-SE",2010,360,99.9273089404
"CRPN-SE",2010,370,82.2023105345
"CRPN-SE",2010,380,106.2473561073
"CRPN-SE",2010,390,82.7167218198
"CRPN-SE",2010,400,73.5452664299
"CRPN-SE",2010,410,63.787840418
"CRPN-SE",2010,420,54.6077818142
"CRPN-SE",2010,430,40.3805218411
"CRPN-SE",2010,440,32.7651682048
"CRPN-SE",2010,450,24.6285721092
"CRPN-SE",2010,460,19.01375801
"CRPN-SE",2010,470,15.0394516399
"CRPN-SE",2010,480,10.4630713479
"CRPN-SE",2010,490,9.4123389087
"CRPN-SE",2010,500,5.4424100181
"CRPN-SE",2010,510,3.3349213788
"CRPN-SE",2010,520,3.6804952222
"CRPN-SE",2010,530,2.6008531119
"CRPN-SE",2010,540,2.0272018378
"CRPN-SE",2010,550,0.9286975024
"CRPN-SE",2010,560,0.8847427996
"CRPN-SE",2010,570,0.605190779
"CRPN-SE",2010,580,0.2649064714
"CRPN-SE",2010,590,0
"KOB-S",2008,410,0.8560623298
"KOB-S",2008,420,0.7398345638
"KOB-S",2008,430,1.4513673221
"KOB-S",2008,440,0.179605302
"KOB-S",2008,450,2.0410043075
"KOB-S",2008,460,1.7855082151
"KOB-S",2008,470,5.2348004196
"KOB-S",2008,480,12.6112061803
"KOB-S",2008,490,50.8651473408
"KOB-S",2008,500,71.6932736518
"KOB-S",2008,510,66.6746008007
"KOB-S",2008,520,78.1426070895
"KOB-S",2008,530,58.5618882212
"KOB-S",2008,540,52.0511017462
"KOB-S",2008,550,45.4703506719
"KOB-S",2008,560,55.6148804205
"KOB-S",2008,570,40.4569762376
"KOB-S",2008,580,42.9190319237
"KOB-S",2008,590,43.4543552421
"KOB-S",2008,600,43.2461844348
"KOB-S",2008,610,34.6358358261
"KOB-S",2008,620,35.6606095224
"KOB-S",2008,630,33.3314442945
"KOB-S",2008,640,22.730124997
"KOB-S",2008,650,32.7757064166
"KOB-S",2008,660,30.0672178351
"KOB-S",2008,670,26.9168692326
"KOB-S",2008,680,20.8540244997
"KOB-S",2008,690,18.0772035753
"KOB-S",2008,700,17.6018786217
"KOB-S",2008,710,20.8493219071
"KOB-S",2008,720,17.5217078241
"KOB-S",2008,730,12.2965343556
"KOB-S",2008,740,12.0672350263
"KOB-S",2008,750,11.495372652
"KOB-S",2008,760,12.8005540565
"KOB-S",2008,770,8.8401056103
"KOB-S",2008,780,8.4658731658
"KOB-S",2008,790,7.2077933628
"KOB-S",2008,800,6.4738838168
"KOB-S",2008,810,6.4958372415
"KOB-S",2008,820,5.2493903809
"KOB-S",2008,830,5.4604761217
"KOB-S",2008,840,4.6070752173
"KOB-S",2008,850,7.5691992899
"KOB-S",2008,860,6.790532494
"KOB-S",2008,870,5.1604948657
"KOB-S",2008,880,3.1697556856
"KOB-S",2008,890,5.8213223705
"KOB-S",2008,900,7.0011019721
"KOB-S",2008,910,3.2313093403
"KOB-S",2008,920,1.0510757364
"KOB-S",2008,930,2.9499506735
"KOB-S",2008,940,4.2152068358
"KOB-S",2008,950,3.4346103593
"KOB-S",2008,960,2.665625376
"KOB-S",2008,970,2.7271085081
"KOB-S",2008,980,3.4162528296
"KOB-S",2008,990,1.2248888017
"KOB-S",2008,1000,4.3258939721
"KOB-S",2008,1010,1.9734641712
"KOB-S",2008,1020,3.3411403005
"KOB-S",2008,1030,3.4634984292
"KOB-S",2008,1040,4.6684114779
"KOB-S",2008,1050,3.1920826989
"KOB-S",2008,1060,3.312039592
"KOB-S",2008,1070,4.0005396929
"KOB-S",2008,1080,5.1520410806
